Wavelength, QE
0.2505010023369497, 0.1647326264624681
0.26897166488241186, 0.17062088886788596
0.27756066078241237, 0.2284097026201588
0.2825019612792471, 0.27580420401030215
0.28818898843941465, 0.32206471812560566
0.2946170004457608, 0.3681323827708236
0.30180316594660317, 0.41059963003218947
0.309977638264223, 0.45274483861127424
0.32122682362050436, 0.5001089069455074
0.3343254511453462, 0.5440932153483479
0.34752033322037845, 0.5899554301705071
0.35692111420200184, 0.6334992334368748
0.3640837341280083, 0.6806397166942637
0.37201578980312, 0.7219405236530392
0.381415799947472, 0.7656373197645148
0.39318796446667137, 0.8117818412237383
0.4076922410077647, 0.8378893988454752
0.4283780095668169, 0.8447568581726445
0.44021807005578145, 0.8447867573152934
0.4628127120033243, 0.8399757983934437
0.4817236861417019, 0.8319101932145003
0.4973062783769218, 0.8235116486241851
0.5140715685735473, 0.8153757181701362
0.5303908943706003, 0.80762810283124
0.5497556480639169, 0.7997212745577382
0.5692387102620855, 0.7935115963688446
0.5884935245409254, 0.7906394099781346
0.6084932479284164, 0.7867955014513355
0.6270227744109687, 0.7810006738666954
0.6469000047484199, 0.772093719271588
0.6628877303665326, 0.761619177543351
0.6787464224971509, 0.747379710856812
0.6987564904540853, 0.7274945563567032
0.7152636702952699, 0.7086900645444335
0.7306643482713934, 0.6891873476643228
0.7491932741015261, 0.66252959242652
0.7675472098601738, 0.6286389142339913
0.7826450088538721, 0.5905674282466018
0.8021401842091631, 0.5399892910631555
0.8209100717681662, 0.4864885126857793
0.8352895905771351, 0.4441035414580241
0.8487194278568448, 0.401368456608983
0.8607839071059652, 0.3568565751645364
0.8737733910807858, 0.3123470295906091
0.8886190161671207, 0.26662516721708973
0.9031663973055329, 0.22869137745986357
0.9209282099092483, 0.19062661877956988
0.9395092723693752, 0.15362098383628742
0.9564479464484241, 0.12086414757554431
0.9713657499338099, 0.09753534152373988
0.9913456962842363, 0.07313753730576944
1.0067669966600885, 0.06003283651757707
1.0248290653973315, 0.04735206285908533
1.0370227099437823, 0.04015037383016229
